name,address,phone,website,email,state,contacted,notes,place_id,collected_date
Mythical Smokes (Wicker Park),"1920 W North Ave, Chicago, IL 60622, USA",(773) 697-8593,,,IL,No,,ChIJCV_lwfPTD4gRxN5hufYzKwQ,2025-09-25 13:45:57
Alys convenience store,"1104 N Dearborn St, Chicago, IL 60610, USA",(773) 858-8971,,,IL,No,,ChIJsRbT2RfTD4gR4JFJLhBk298,2025-09-25 13:45:58
Sherry's Food Mart,"162 W Division St, Chicago, IL 60610, USA",(312) 265-0182,,,IL,No,,ChIJK7LIx0jTD4gRYEhST454TbY,2025-09-25 13:45:58
Tobacco CBD Glass,"1240 N Milwaukee Ave, Chicago, IL 60622, USA",,,,IL,No,,ChIJS09eFDjTD4gRjan5bo_QN4o,2025-09-25 13:45:58
Lovers Playground,"1246 W Randolph St, Chicago, IL 60607, USA",(312) 226-5222,https://loversplayground.com/collections/illinois-chicago-randolph-street,,IL,No,,ChIJO5lSiSctDogRPqMGbpmi6P4,2025-09-25 13:45:58
DOWNTOWN MINI MART,"173 W Van Buren St, Chicago, IL 60605, USA",,,,IL,No,,ChIJEwdTYGctDogRGnjzYJbmHXo,2025-09-25 13:45:58
VIP VAPE | SMOKE SHOP | TOBACCO |,"2030 N Damen Ave, Chicago, IL 60647, USA",(773) 770-3840,,,IL,No,,ChIJye8fJU_TD4gRl2CgkPuRHpY,2025-09-25 13:45:58
Halstead bp,"3047 S Halsted St, Chicago, IL 60608, USA",(312) 842-0118,https://map.bp.com/en-US/US/gas-station/chicago/bp/54468193480476060800100000000000,,IL,No,,ChIJ5z_irEcsDogRlIyUxdVqQGs,2025-09-25 13:46:00
Trove Smoking Treasures,"42 E Chicago Ave, Chicago, IL 60611, USA",(312) 265-0646,https://vapeology.org/stores/,contact@vapeology.org,IL,No,,ChIJy8XN8XvTD4gRYhcx1bZiLJY,2025-09-25 13:46:03
Lincoln Park Smoke and Vape,"2228 N Lincoln Ave, Chicago, IL 60614, USA",(773) 770-3765,,,IL,No,,ChIJ8eMpRzfTD4gRuyQZvbJfjJo,2025-09-25 13:46:03
VIP Smoke and Exotic Snacks | SMOKE SHOP NEAR ME | VAPES | CIGARS | THC | CBD,"2356 W Chicago Ave, Chicago, IL 60622, USA",(773) 904-8955,,,IL,No,,ChIJGQhA46ItDogRXaKiyTE8yzc,2025-09-25 13:46:03
Dueño de 28 gasolinera,"1535 W Grand Ave, Chicago, IL 60622, USA",,,,IL,No,,ChIJY684OAAtDogRyOzNaO_Ri6E,2025-09-25 13:46:03
Hubbard & State Cigar Shop,"6 W Hubbard St, Chicago, IL 60610, USA",(312) 670-0687,,,IL,No,,ChIJpRSfAa4sDogRSzyU2RqK5i0,2025-09-25 13:46:03
Chicago Vapor Zone,"1410 N Milwaukee Ave, Chicago, IL 60622, USA",(773) 270-4968,http://chicagovaporzoneil.com/,,IL,No,,ChIJVVVhc8bSD4gRPGw0sS8_VGo,2025-09-25 13:46:04
